Age(eg.21),Gender,Occupation,What is your personal monthly income?  ,Where do you reside? ,Do you use UPI for transactions?  ,What are your reasons for not using UPI? (Select all that apply)  ,How often do you use UPI for transactions? ,Which UPI app have you been primarily using for the past 6 months?  ,"Do you use any other UPI apps for transactions besides your primary UPI app? If yes, please specify  ","How satisfied are you with the following features of your UPI app?   [Transaction Speed	]","How satisfied are you with the following features of your UPI app?   [Bill Payment	]","How satisfied are you with the following features of your UPI app?   [Payment Reminders	]","How satisfied are you with the following features of your UPI app?   [User Interface	]",How satisfied are you with the following features of your UPI app?   [Security Features],How satisfied are you with the following features of your UPI app?   [Coverage (Merchant & Bank Support)],What types of transactions do you use your UPI app for? (Select frequency for each type) [Peer-to-peer transfers],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Bill payments(e.g., electricity, water, gas, broadband)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Mobile recharges and DTH payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Online shopping],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Ticket bookings (movies, flights, etc.)]","What types of transactions do you use your UPI app for? (Select frequency for each type) [Government-related payments (taxes, fines, etc.)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Offline merchant payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Loan or EMI Repayments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Donations],What type of rewards or cashback offers do you find most attractive?  (Multiple choices),Which payment method do you use the most besides your UPI app? ,What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction speed],What factors influence your choice of UPI app? (Rate the importance of each factor) [Security & Fraud Protection],What factors influence your choice of UPI app? (Rate the importance of each factor) [Cashback/Rewards],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of use],What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction limits (maximum transaction amount allowed)],What factors influence your choice of UPI app? (Rate the importance of each factor) [24/7 Customer Support Availability],"What factors influence your choice of UPI app? (Rate the importance of each factor) [Payment Reminder Feature (Bills, Subscriptions, EMI, Rent, etc.)]",What factors influence your choice of UPI app? (Rate the importance of each factor) [User interface & experience],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of linking bank accounts],Have you ever hesitated to make a large transaction using UPI due to security concerns?  ,What challenges do you face while using UPI apps?    ,"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Dependency on cash/cards	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Frequency of digital transactions],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Ability to track expenses	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Bill Payments & Subscription Management],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Savings habits	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Impulse buying behavior],How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Payment convenience at small/local merchant],"Do you use your UPI app for business-related transactions (e.g., receiving payments from clients)? ",How often do you use UPI apps for payments at small/local merchants? ,How satisfied are you with your primary UPI app overall ? ,Would you recommend your UPI app to others ?
30,Female,Freelancer/Gig Worker,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,Google Pay,Very Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Weekly,Rarely,Monthly,Never,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Increased,Moderately Increased,No Change,No Change,Moderately Increased,Moderately Increased,Yes,Frequently,5,10
25,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Important,Very Important,Very Important,Yes,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly  Declined,Moderately Declined,Moderately Declined,Moderately Increased,Significantly Increased,No,Frequently,4,9
29,Male,Business Owner,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,PhonePe,"No, I only use my primary UPI app",Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Monthly,Rarely,Monthly,Rarely,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Net banking,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Moderately Increased,No Change,Significantly Increased,No Change,Moderately Increased,Moderately Increased,Yes,Frequently,5,9
22,Male,Student,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Moderately Declined,Moderately Increased,No Change,No Change,No Change,Moderately Increased,Moderately Increased,No,Frequently,5,10
23,Male,Student,"Below ₹20,000",Semi urban,Yes,,Daily,PhonePe,Google Pay,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Weekly,Monthly,Monthly,Monthly,Monthly,Rarely,Rarely,Never,Never,Cashbacks on transaction amounts,Cash,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Moderately Declined,Moderately Increased,No Change,Moderately Increased,No Change,Moderately Increased,Moderately Increased,Yes,Frequently,5,9
29,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,PhonePe,PhonePe,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Rarely,Monthly,Monthly,Daily,Rarely,Rarely,Never,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores;Exclusive offers on financial products;,Credit card,Important,Important,Important,Important,Important,Very Important,Important,Important,Important,No,Technical Glitches,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No,Rarely,5,10
38,Male,Business Owner,"Above ₹1,00,000",Urban,Yes,,Daily,BHIM,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Rarely,Monthly,Monthly,Rarely,Monthly,Rarely,Rarely,Never,Rarely,Discounts on bills and recharges;Special discounts on partner merchant stores,Net banking,Very Important,Important,Very Important,Very Important,Important,Very Important,Moderately Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Significantly Increased,Yes,Frequently,5,10
30,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,BHIM UPI,Neutral,Neutral,Satisfied,Neutral,Dissatisfied,Dissatisfied,Never,Rarely,Monthly,Monthly,Rarely,Never,Never,Never,Rarely,Special discounts on partner merchant stores,Credit card,Moderately Important,Very Important,Important,Important,Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,No Change,Moderately Declined,Moderately Increased,Moderately Declined,Moderately Declined,Moderately Declined,Significantly  Declined,No,Frequently,2,5
27,Male,Business Owner,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Paytm,"No, I only use my primary UPI app",Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Important,Very Important,Moderately Important,Important,Important,Important,Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Significantly Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Significantly Increased,Yes,Frequently,5,10
41,Male,Business Owner,"Below ₹20,000",Rural,Yes,,Daily,Google Pay,Google Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Monthly,Monthly,Never,Rarely,Never,Daily,Never,Never,Discounts on bills and recharges,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures,Significantly  Declined,Moderately Declined,Moderately Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Yes,Occasionally,5,10
34,Male,Business Owner,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Paytm,PhonePe,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Monthly,Monthly,Monthly,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores;Exclusive offers on financial products,Cash,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Moderately Important,Important,No,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,No Change,Moderately Increased,Significantly Increased,Significantly Increased,Yes,Frequently,4,6
29,Male,Business Owner,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Paytm,Amazon Pay,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Rarely,Rarely,Monthly,Monthly,Weekly,Monthly,Rarely,Monthly,Daily,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores;Exclusive offers on financial products,Debit card,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Increased,Significantly Increased,Significantly Increased,Significantly Increased,Yes,Frequently,5,8
35,Female,Business Owner,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Google Pay;Paytm;Amazon Pay,Very Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Daily,Weekly,Monthly,Monthly,Rarely,Rarely,Daily,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores;Exclusive offers on financial products,Cash,Very Important,Very Important,Moderately Important,Important,Very Important,Important,Very Important,Moderately Important,Important,Yes,Technical Glitches;Transaction Failures;Lack of Awareness,Significantly  Declined,Significantly Increased,Moderately Declined,Moderately Declined,Moderately Declined,Significantly Increased,Significantly Increased,Yes,Frequently,4,8
18,Female,Student,"Below ₹20,000",Urban,Yes,,Monthly,PhonePe,"No, I only use my primary UPI app",Satisfied,Neutral,Neutral,Satisfied,Satisfied,Very Satisfied,Monthly,Never,Never,Rarely,Never,Never,Monthly,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores;Exclusive offers on financial products,Cash,Very Important,Very Important,Slightly Important,Moderately Important,Moderately Important,Important,Moderately Important,Moderately Important,Important,No,Technical Glitches;Transaction Failures,Significantly  Declined,Moderately Increased,No Change,No Change,No Change,Moderately Increased,Significantly Increased,No,Occasionally,3,7
46,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Weekly,PhonePe,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Weekly,Monthly,Rarely,Rarely,Never,Never,Weekly,Never,Never,Discounts on bills and recharges,Cash,Important,Very Important,Moderately Important,Important,Very Important,Very Important,Important,Moderately Important,Very Important,No,Security Concerns;Lack of Awareness,Significantly  Declined,Significantly Increased,Significantly Increased,Moderately Increased,No Change,No Change,Significantly Increased,No,Occasionally,5,7
22,Female,Student,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,PhonePe,"No, I only use my primary UPI app",Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Never,Never,Never,Never,Never,Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,No,Transaction Failures,Moderately Declined,Significantly Increased,Significantly Increased,No Change,Moderately Declined,No Change,No Change,No,Occasionally,4,6
30,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Semi urban,Yes,,Daily,PhonePe,Paytm,Very Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Moderately Important,Important,Slightly Important,No,Technical Glitches,Moderately Declined,Significantly Increased,Moderately Increased,Significantly Increased,No Change,Moderately Increased,Significantly Increased,Yes,Frequently,4,7
26,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,No,Not familiar with UPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Female,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Paytm,PhonePe,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Never,Rarely,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Important,Moderately Important,Important,Important,Important,Very Important,No,Technical Glitches,Moderately Declined,Significantly Increased,Moderately Increased,No Change,Moderately Declined,No Change,No Change,No,Frequently,4,8
30,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,PhonePe,Google Pay;Paytm,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Monthly,Rarely,Rarely,Weekly,Rarely,Never,Cashbacks on transaction amounts,Net banking,Important,Very Important,Important,Very Important,Moderately Important,Very Important,Moderately Important,Moderately Important,Very Important,No,Transaction Failures;Security Concerns,Moderately Declined,Significantly Increased,Moderately Increased,Moderately Increased,Significantly  Declined,No Change,Moderately Declined,No,Occasionally,5,9
27,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,PhonePe,Paytm;Amazon Pay,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Monthly,Monthly,Monthly,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Credit card,Very Important,Very Important,Moderately Important,Moderately Important,Important,Important,Important,Important,Very Important,No,Technical Glitches,Significantly  Declined,Significantly Increased,No Change,No Change,Moderately Declined,Moderately Increased,Significantly Increased,No,Frequently,4,7
30,Male,Freelancer/Gig Worker,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,PhonePe,Paytm,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Monthly,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Credit card,Very Important,Important,Moderately Important,Important,Important,Important,Important,Important,Very Important,Yes,Technical Glitches,Moderately Declined,Significantly Increased,Moderately Increased,Moderately Increased,No Change,Moderately Increased,Significantly Increased,Yes,Frequently,4,9
28,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,PhonePe,"No, I only use my primary UPI app",Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Monthly,Rarely,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Important,Important,Important,Moderately Important,Moderately Important,Important,Important,Very Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Increased,No Change,No Change,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,4,7
21,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Amazon Pay.,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Weekly,Monthly,Monthly,Monthly,Monthly,Daily,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Moderately Important,Important,Very Important,Very Important,Very Important,Important,Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Significantly  Declined,Significantly Increased,Significantly Increased,Yes,Frequently,4,9
24.5,Male,Salaried Professional,"₹20,000 - ₹50,000",Rural,Yes,,Daily,Paytm,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Weekly,Rarely,Rarely,Rarely,Rarely,Rarely,Weekly,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Technical Glitches,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,4,9
30,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Neutral,Daily,Monthly,Monthly,Weekly,Rarely,Monthly,Never,Monthly,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Not Important,Not Important,Slightly Important,Yes,Technical Glitches;Transaction Failures;Security Concerns;Other,Moderately Declined,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,3,5
21,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,Neutral,Daily,Monthly,Monthly,Monthly,Monthly,Rarely,Rarely,Never,Rarely,Discounts on bills and recharges,Debit card,Slightly Important,Very Important,Moderately Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Yes,Frequently,4,9
29,Male,Other,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Google Pay,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Weekly,Monthly,Weekly,Monthly,Rarely,Rarely,Monthly,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores;Exclusive offers on financial products,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns;Lack of Awareness;Other,Significantly  Declined,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,4,9
25,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Rarely,Never,Daily,Monthly,Rarely,Daily,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores,Cash,Very Important,Very Important,Moderately Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,No,Transaction Failures,No Change,Significantly Increased,Significantly Increased,Moderately Declined,Moderately Declined,Significantly Increased,No Change,No,Occasionally,4,10
21,Female,Student,"Below ₹20,000",Semi urban,Yes,,Weekly,Google Pay,"No, I only use my primary UPI app",Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Monthly,Monthly,Monthly,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Referral bonuses for inviting friends,Cash,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,No,Transaction Failures,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,Yes,Frequently,4,8
